,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
103,3,0.38,3.2,1.2,3.3,0.3,2.6,0.453,9.0,4.1,0.801,2.7,2.1,566,28.8,0.6,2.1,11.5,George Hill *,3.2,0.9,1.3,-
104,4,0.0,0.0,0.0,0.6,1.1,5.7,0.553,8.0,4.4,0.783,3.2,2.5,319,26.3,2.7,2.9,11.4,Jonas Valanciunas *,8.4,0.4,1.5,TOR
105,5,0.384,3.0,1.2,1.9,0.2,2.5,0.451,9.2,4.2,0.823,2.4,1.9,679,28.4,0.5,2.0,11.4,Arron Afflalo *,3.0,0.5,1.2,-
106,6,0.327,1.3,0.4,1.9,0.4,2.7,0.443,9.7,4.3,0.793,2.9,2.3,494,26.2,0.6,1.7,11.4,Gerald Henderson *,3.3,0.7,1.2,-
107,7,0.376,3.5,1.3,2.3,0.3,3.6,0.441,9.2,4.1,0.803,2.4,1.9,956,28.1,0.7,2.0,11.4,Mike Dunleavy *,4.3,0.7,1.4,-
108,8,0.276,1.9,0.5,1.8,0.6,5.1,0.439,10.2,4.5,0.727,2.2,1.6,258,24.9,2.6,3.0,11.1,Jared Sullinger *,7.7,0.7,1.3,BOS
109,9,0.326,0.2,0.1,0.6,0.5,4.1,0.53,8.5,4.5,0.764,2.6,2.0,412,21.3,2.6,2.1,11.0,Enes Kanter *,6.7,0.4,1.5,-
110,10,0.37,2.9,1.1,1.1,0.4,4.1,0.445,9.3,4.1,0.77,2.1,1.6,562,24.3,1.9,2.5,10.9,Ersan Ilyasova *,6.0,0.7,1.0,-
111,11,0.369,4.0,1.5,1.2,0.1,2.5,0.442,8.9,3.9,0.838,1.8,1.5,194,25.6,0.5,1.5,10.9,Bojan Bogdanovic *,3.0,0.4,1.3,BRK
112,12,0.333,1.1,0.4,2.8,0.6,4.9,0.536,7.9,4.2,0.807,2.5,2.0,113,22.5,2.3,2.8,10.9,Nikola Jokic *,7.2,0.9,1.4,DEN
113,13,0.291,1.1,0.3,8.6,0.1,3.8,0.464,9.7,4.5,0.605,2.4,1.5,675,32.7,1.1,2.3,10.8,Rajon Rondo *,4.9,1.8,2.9,-
114,14,0.389,3.1,1.2,2.1,0.1,1.7,0.461,8.8,4.1,0.82,1.8,1.5,820,21.8,0.4,2.0,10.8,Leandro Barbosa *,2.0,0.8,1.3,-
115,15,0.407,3.8,1.6,2.6,0.2,3.7,0.459,8.6,3.9,0.769,1.7,1.3,1017,27.2,0.6,2.0,10.8,Mike Miller *,4.3,0.6,1.5,-
116,16,0.313,1.0,0.3,4.2,0.1,2.2,0.437,8.2,3.6,0.79,4.0,3.2,652,23.9,0.5,1.4,10.6,Ramon Sessions *,2.7,0.7,1.7,-
117,17,0.304,1.3,0.4,3.7,0.2,4.5,0.432,9.9,4.3,0.781,2.1,1.7,506,28.3,0.6,2.0,10.6,Evan Turner *,5.1,0.8,1.9,-
118,18,0.346,4.6,1.6,1.2,0.7,4.4,0.403,8.3,3.4,0.798,2.9,2.3,184,22.5,0.8,2.1,10.6,Nikola Mirotic *,5.2,0.8,1.3,CHI
119,19,0.367,4.1,1.5,2.9,0.3,1.9,0.402,9.2,3.7,0.851,2.0,1.7,708,26.0,0.3,2.1,10.6,Randy Foye *,2.2,0.7,1.5,-
120,20,0.354,2.3,0.8,1.3,0.5,3.9,0.443,8.6,3.8,0.802,2.7,2.1,818,28.7,1.3,2.1,10.5,Marvin Williams *,5.2,0.8,1.0,-
121,21,0.364,1.6,0.6,1.9,0.2,2.2,0.432,8.4,3.6,0.75,3.5,2.6,263,22.7,0.7,2.0,10.5,Alec Burks *,2.9,0.6,1.4,UTA
122,22,0.355,3.6,1.3,2.1,0.3,3.7,0.428,8.8,3.8,0.715,2.3,1.6,835,28.9,1.1,2.0,10.4,Trevor Ariza *,4.8,1.5,1.4,-
