,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
24,24,0.37,3746,1386,3737,298,2830,0.448,9573,4291,0.827,3904,3230,955,24884.0,652,2020,13198,Manu Ginobili *,3482,1306,1959,SAS
25,25,0.335,1897,635,2013,428,3907,0.456,11046,5039,0.769,3131,2409,864,30178.4,1432,1461,13122,Luol Deng *,5339,855,1434,-
26,26,0.34,3377,1147,2623,522,3278,0.415,11221,4652,0.716,3586,2566,981,31352.8,1157,2581,13017,Metta World Peace *,4435,1715,1786,-
27,27,0.366,3398,1245,3092,251,2336,0.443,8269,3663,0.854,4486,3832,574,19204.1,434,1451,12403,James Harden *,2770,840,1832,-
28,28,0.333,2610,870,4259,438,4053,0.462,9544,4409,0.714,3693,2635,938,32790.6,917,1769,12323,Andre Iguodala *,4970,1504,1958,-
29,29,0.44,3960,1741,3624,112,1949,0.476,8882,4232,0.904,2045,1849,534,18573.5,369,1351,12054,Stephen Curry *,2318,949,1692,GSW
30,30,0.331,894,296,1801,839,4153,0.495,8642,4277,0.733,3288,2411,803,23525.1,1855,2545,11261,Paul Millsap *,6008,1067,1439,-
31,31,0.375,4614,1729,1876,188,2291,0.421,9597,4045,0.734,1916,1406,860,23150.2,456,1976,11225,J.R. Smith *,2747,880,1208,-
32,32,0.407,3894,1585,2650,229,3713,0.459,8728,4010,0.769,1755,1349,1017,27678.0,630,2035,10954,Mike Miller *,4343,571,1550,-
33,33,0.034,29,1,1756,304,5004,0.534,8324,4445,0.774,2599,2011,787,23454.1,2060,2099,10902,David Lee *,7064,608,1405,-
34,34,0.376,3383,1271,2156,319,3458,0.441,8796,3878,0.803,2307,1852,956,26864.1,685,1951,10879,Mike Dunleavy *,4143,710,1355,-
35,35,0.378,2891,1094,3990,121,1857,0.434,9326,4051,0.871,1795,1563,818,23872.2,407,2005,10759,Mo Williams *,2264,721,1849,-
36,36,0.28,774,217,1515,157,1821,0.445,8387,3735,0.827,3411,2820,559,19010.5,422,1288,10507,DeMar DeRozan *,2243,542,1062,TOR
37,37,0.366,2275,832,1310,268,4587,0.444,7581,3366,0.819,3171,2596,549,17949.8,1720,1174,10160,Kevin Love *,6307,382,1086,-
38,38,0.136,44,6,1612,671,3830,0.545,7042,3835,0.663,3614,2395,839,23318.6,1548,2641,10071,Maybyner Nene *,5378,961,1609,-
39,39,0.429,4555,1952,1843,344,2795,0.442,7751,3424,0.879,1278,1124,997,26475.3,307,2149,9924,Kyle Korver *,3102,710,1100,-
40,40,0.328,2451,805,4735,176,2050,0.412,9005,3709,0.789,2083,1643,814,26189.6,505,1689,9866,Raymond Felton *,2555,1053,1875,-
41,41,0.331,885,293,1071,282,2768,0.499,8336,4157,0.683,1607,1098,703,21549.9,1389,1544,9705,Thaddeus Young *,4157,998,1032,-
42,42,0.365,2934,1070,3979,182,2228,0.423,7356,3115,0.799,2966,2370,691,21239.0,584,1881,9670,Kyle Lowry *,2812,952,1520,-
43,43,0.324,210,68,779,906,2355,0.508,7332,3727,0.795,2601,2067,521,16892.4,1418,1464,9589,Brook Lopez *,3773,308,1052,-
44,44,0.327,456,149,1282,536,3505,0.46,7398,3400,0.733,3348,2454,452,14381.0,1337,1744,9403,DeMarcus Cousins *,4842,639,1532,SAC
45,45,0.266,177,47,1776,261,3062,0.519,7004,3633,0.666,3063,2039,436,15365.9,1096,1324,9352,Blake Griffin *,4158,425,1079,LAC
46,46,0.344,2513,864,2165,128,1261,0.417,7201,3002,0.822,3019,2481,743,17458.9,266,1015,9349,Lou Williams *,1527,660,1077,-
47,47,0.368,2859,1052,4104,58,1978,0.437,8134,3552,0.811,1436,1165,790,22390.1,399,2019,9321,Jameer Nelson *,2377,714,1706,-
48,48,0.324,2014,653,3488,160,1568,0.437,7029,3071,0.795,3094,2460,803,20801.2,259,1803,9255,Devin Harris *,1827,884,1509,-
49,49,0.337,2044,688,1103,388,2541,0.437,7782,3397,0.789,2227,1756,674,21267.4,671,1548,9238,Jeff Green *,3212,525,1109,-
50,50,0.376,2125,799,3744,130,1639,0.44,7575,3334,0.81,2088,1691,665,21583.6,283,1326,9158,Mike Conley *,1922,995,1343,MEM
51,51,0.342,1370,468,3575,503,3313,0.495,7518,3719,0.717,1446,1037,1022,28066.5,1229,2226,8943,Boris Diaw *,4542,637,1858,-
52,52,0.323,195,63,1906,925,3502,0.499,6711,3347,0.769,2781,2138,607,20476.3,1155,1825,8895,Marc Gasol *,4657,566,1202,MEM
53,53,0.341,258,88,1184,224,3586,0.493,7419,3659,0.74,1952,1445,735,18915.0,1330,2022,8851,Luis Scola *,4916,470,1116,-
54,54,0.389,2507,975,1738,116,1355,0.461,7217,3324,0.82,1480,1213,820,17911.2,313,1610,8836,Leandro Barbosa *,1668,681,1030,-
55,55,0.0,10,0,860,1268,6268,0.593,5567,3301,0.644,3466,2233,1016,28896.0,3222,2982,8835,Tyson Chandler *,9490,573,1528,-
56,56,0.34,444,151,1727,751,3913,0.531,6998,3713,0.747,1526,1140,606,20264.2,1421,1462,8717,Al Horford *,5334,503,962,-
57,57,0.355,2993,1062,1765,274,3070,0.428,7366,3152,0.715,1886,1348,835,24125.9,898,1691,8714,Trevor Ariza *,3968,1261,1188,-
58,58,0.354,1855,657,1061,410,3221,0.443,7005,3105,0.802,2190,1757,818,23491.2,1042,1693,8624,Marvin Williams *,4263,622,836,-
59,59,0.3,1207,362,2663,167,1222,0.448,7435,3330,0.816,1900,1550,439,15264.0,396,620,8572,Derrick Rose *,1618,352,1266,-
60,60,0.319,1174,375,4136,292,1785,0.433,7091,3069,0.792,2415,1913,457,16474.5,262,1061,8426,John Wall *,2047,790,1746,WAS
61,61,0.299,887,265,2284,94,1458,0.425,6744,2865,0.825,2501,2063,629,17538.6,416,1327,8058,Rodney Stuckey *,1874,559,1155,-
62,62,0.416,2819,1173,962,228,1233,0.452,6526,2947,0.854,999,853,424,13842.2,180,968,7920,Klay Thompson *,1413,385,752,GSW
63,63,0.386,3068,1183,1142,106,1414,0.431,6214,2677,0.827,1558,1289,556,18181.3,315,1234,7826,Wesley Matthews *,1729,632,736,-
64,64,0.368,2495,918,2225,98,1199,0.429,6094,2616,0.873,1872,1634,356,12959.1,191,781,7784,Damian Lillard *,1390,329,996,POR
65,65,0.359,1758,631,2899,116,1295,0.469,6121,2873,0.753,1830,1378,606,16503.8,445,1400,7755,Goran Dragic *,1740,620,1358,-
66,66,0.384,2048,786,1310,127,1721,0.451,6247,2818,0.823,1598,1315,679,19296.3,328,1371,7737,Arron Afflalo *,2049,325,803,-
67,67,0.387,2382,922,1484,139,951,0.435,5973,2598,0.816,1854,1512,456,15342.2,207,917,7630,Eric Gordon *,1158,468,998,-
68,68,0.414,2816,1167,1204,43,1105,0.449,5711,2563,0.887,1493,1324,649,15982.8,124,952,7617,J.J. Redick *,1229,291,678,-
69,69,0.367,2884,1058,2022,214,1350,0.402,6533,2623,0.851,1388,1181,708,18407.2,237,1516,7485,Randy Foye *,1587,504,1058,-
70,70,0.412,2067,851,4866,66,1693,0.474,6056,2871,0.875,1011,885,764,21760.2,270,1310,7478,Jose Calderon *,1963,667,1244,-
71,71,0.348,2491,868,2904,93,1225,0.39,6772,2642,0.797,1659,1322,498,15734.0,311,919,7474,Brandon Jennings *,1536,637,1134,-
72,72,0.335,2802,939,1593,430,3034,0.437,6154,2692,0.74,1342,993,890,21069.8,1027,2253,7316,Matt Barnes *,4061,689,1120,-
73,73,0.289,959,277,2333,179,1740,0.445,6218,2766,0.759,1967,1492,444,14619.1,412,1051,7301,Tyreke Evans *,2152,587,1208,-
74,74,0.376,2246,845,627,126,1010,0.42,6159,2585,0.834,1541,1285,611,14361.2,230,1158,7300,Nick Young *,1240,341,656,-
75,75,0.291,712,207,5825,91,2572,0.464,6567,3047,0.605,1634,989,675,22105.3,750,1538,7290,Rajon Rondo *,3322,1227,1983,-
76,76,0.363,1665,604,1625,207,1602,0.44,5485,2411,0.822,2169,1782,476,14803.6,348,864,7208,Gordon Hayward *,1950,487,989,UTA
77,77,0.382,1631,623,1884,107,917,0.454,5773,2623,0.868,1521,1320,341,11620.9,256,727,7189,Kyrie Irving *,1173,458,934,CLE
78,78,0.345,1907,658,2154,163,1321,0.41,6136,2515,0.823,1818,1497,402,13544.4,242,623,7185,Kemba Walker *,1563,570,846,CHA
79,79,0.366,2113,774,1270,176,2164,0.427,5604,2395,0.845,1712,1447,404,13101.9,354,1068,7011,Paul George *,2518,675,1008,IND
80,80,0.0,10,0,1115,311,2933,0.509,5490,2796,0.702,2011,1412,493,14895.0,1491,1142,7004,Greg Monroe *,4424,569,976,-
81,81,0.39,2319,904,778,498,2894,0.439,6027,2646,0.821,984,808,757,17907.6,727,2062,7004,Channing Frye *,3621,412,721,-
