,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,MIN,ORB,PF,PTS,REB,STL,TOV
222,0.401,2.8,1.1,0.5,0.3,1.5,0.4,4.3,1.7,0.845,0.9,0.8,15.9,0.3,1.3,5.3,1.8,0.3,0.3
223,0.391,1.8,0.7,1.9,0.0,1.2,0.438,4.6,2.0,0.753,0.7,0.5,16.4,0.2,1.4,5.3,1.4,0.7,1.1
224,0.31,3.0,0.9,2.2,0.2,1.3,0.365,5.3,1.9,0.726,0.6,0.4,21.7,0.4,2.0,5.2,1.7,0.4,1.3
225,0.0,0.0,0.0,0.5,0.7,2.9,0.535,3.6,1.9,0.597,2.1,1.3,16.8,1.4,2.6,5.1,4.3,0.5,0.9
226,0.388,2.6,1.0,1.8,0.1,1.9,0.432,4.2,1.8,0.753,0.5,0.3,18.6,0.2,1.5,5.0,2.1,0.8,1.0
227,0.391,0.8,0.3,0.8,0.5,1.7,0.513,3.8,2.0,0.828,0.8,0.6,13.2,1.0,1.4,4.9,2.7,0.3,0.6
228,0.0,0.0,0.0,0.4,1.6,4.6,0.507,3.5,1.8,0.549,2.2,1.2,21.6,2.1,2.3,4.8,6.6,0.3,0.9
229,0.43,2.9,1.2,0.3,0.1,1.1,0.437,3.7,1.6,0.877,0.2,0.2,12.1,0.1,0.8,4.7,1.3,0.2,0.2
230,0.277,1.4,0.4,0.8,0.6,2.6,0.468,3.6,1.7,0.506,0.8,0.4,20.6,1.0,2.1,4.2,3.6,0.8,0.6
231,0.0,0.0,0.0,0.4,1.0,2.5,0.513,3.2,1.6,0.557,1.7,1.0,14.1,1.7,1.9,4.2,4.3,0.3,0.8
232,0.323,0.4,0.1,1.3,0.3,2.5,0.439,3.2,1.4,0.748,0.8,0.6,14.1,0.3,1.0,3.5,2.8,0.7,0.6
